,id,date,mood_class,average_mood,average_arousal,average_valence,average_activity,total_screen,total_sms,total_calls,total_built_in,total_communication,total_other,group,total_professional,total_recreation,total_convenience
88,AS14.03,2014-03-23,5,8.2,-0.2,1.2,0.1002466983942117,5048.337000608444,1.0,1.0,492.57600000000014,1503.1219999999998,251.529,3.0,198.362,1741.3909999999996,320.25899999999996
89,AS14.03,2014-03-24,5,7.8,-0.6,1.4,0.090740222421567,6248.045999526979,0.0,3.0,92.246,2282.336,862.0809999999998,3.0,230.54200000000003,3908.043,5.136
90,AS14.03,2014-03-25,5,7.8,-0.4,1.2,0.1327682855234919,3791.112000226976,1.0,6.0,1044.4950000000003,1305.098,180.954,3.0,588.619,1351.4160000000002,28.843
91,AS14.03,2014-03-26,5,8.25,0.5,1.0,0.0911532011403041,3985.9769988059993,0.0,1.0,118.639,1294.7890000000002,80.32900000000001,3.0,107.825,2355.873,12.84
92,AS14.03,2014-03-27,5,7.75,0.25,0.5,0.1031957536987308,3275.632001638412,1.0,3.0,588.336,931.662,60.032,3.0,13.437,1653.7569999999998,17.490000000000002
93,AS14.03,2014-03-28,5,8.0,-0.5,1.5,0.1046792879790665,3250.441998243332,0.0,3.0,277.526,940.879,310.163,3.0,46.206,3351.791,7.045
94,AS14.03,2014-03-29,5,8.6,-0.2,1.6,0.1633773377586506,2261.391000509263,1.0,0.0,19.31,152.928,104.425,3.0,49.371,2529.228,0.0
95,AS14.03,2014-03-30,5,8.4,-0.2,1.0,0.1646507152666788,3568.718999385834,0.0,1.0,12.869,1223.623,221.321,3.0,26.284,2039.814,31.955
96,AS14.03,2014-03-31,4,7.4,0.4,0.6,0.0836335845955087,9398.243999958038,1.0,3.0,2044.996,4412.685,98.786,3.0,77.49100000000001,1699.4680000000003,5.16
97,AS14.03,2014-04-01,4,7.6,0.4,0.4,0.0974143401463109,3205.793999433517,0.0,2.0,543.6630000000001,711.7979999999999,203.234,3.0,121.131,1626.554,0.0
98,AS14.03,2014-04-02,4,7.4,0.2,0.6,0.0786881382869165,3364.2400007247934,0.0,2.0,854.198,820.558,98.842,3.0,84.138,1981.504,54.145
99,AS14.03,2014-04-03,5,7.8,0.0,1.0,0.0836364543999837,2312.74599981308,0.0,1.0,19586.765999999992,685.184,111.429,3.0,72.10300000000001,2093.16,29.197000000000003
100,AS14.03,2014-04-04,5,7.8,0.2,1.4,0.0871065604162596,3231.443998813628,3.0,0.0,617.0930000000001,804.0909999999999,1218.179,3.0,53.447,1371.565,0.0
101,AS14.03,2014-04-05,4,7.6,1.2,1.0,0.1144279376296363,3852.661998987194,0.0,6.0,263.059,1110.404,60.862,3.0,106.486,2295.814,19.696
102,AS14.03,2014-04-06,2,6.8,0.2,0.8,0.076772015485237,6028.5489985942895,0.0,0.0,11.063,730.3430000000001,1047.687,3.0,0.0,4234.2,0.0
103,AS14.03,2014-04-07,4,7.4,0.2,1.0,0.1440639367890296,5035.644999742507,0.0,2.0,596.011,1787.4450000000002,154.846,3.0,212.878,2513.8120000000004,0.0
104,AS14.03,2014-04-08,4,7.4,0.4,1.2,0.1038308889653645,4475.891999959949,1.0,2.0,873.53,683.3639999999999,82.041,3.0,1521.953,1307.637,0.0
105,AS14.03,2014-04-09,5,7.8,0.6,1.0,0.0921222333052219,1773.7219996452322,0.0,0.0,23.843000000000004,763.865,124.674,3.0,48.004999999999995,984.36,0.0
106,AS14.03,2014-04-10,4,7.4,0.4,1.0,0.1080663991151945,7018.261001348491,2.0,0.0,103.689,1778.979,2335.029,3.0,5.217,2789.5479999999993,0.0
107,AS14.03,2014-04-11,4,7.6,0.2,1.0,0.1201880832717655,4983.920999288562,0.0,0.0,102.159,1698.898,382.43500000000006,3.0,26.309,3128.489,4.513
108,AS14.03,2014-04-12,5,7.666666666666667,0.3333333333333333,1.0,0.1270373422712845,2492.817999362946,0.0,6.0,19477.059,229.648,1093.573,3.0,0.0,12054.726,9.33
109,AS14.03,2014-04-13,4,7.4,0.2,1.0,0.0781375421662017,7752.552998781203,1.0,1.0,1391.461,2391.052,4335.307,3.0,643.756,3217.934,0.0
110,AS14.03,2014-04-14,2,7.0,0.0,0.8,0.0928962657178071,4230.447000265119,1.0,0.0,1808.078,3571.217,69.23400000000001,3.0,36.263000000000005,1194.034,17.303
111,AS14.03,2014-04-15,4,7.6,0.2,0.8,0.1195549985213912,3964.784998178483,0.0,6.0,726.5000000000001,2245.302,112.31700000000001,3.0,6.025,1850.042,0.0
112,AS14.03,2014-04-16,5,8.0,0.8,1.0,0.114768169214947,5334.56700015068,0.0,2.0,244.239,1454.3010000000002,213.608,3.0,51.299,3481.064,7.662
113,AS14.03,2014-04-17,4,7.25,0.25,0.75,0.1408592463523663,5006.50600028038,2.0,4.0,1816.36,2048.2860000000005,268.38300000000004,3.0,172.576,1159.785,31.331
114,AS14.03,2014-04-18,4,7.5,0.0,1.0,0.0738760828994091,6253.737000465391,0.0,6.0,1751.578,1206.113,65.549,3.0,183.844,4304.597,7.954
115,AS14.03,2014-04-19,5,7.8,0.6,0.8,0.208229777089402,1441.918000221252,1.0,4.0,117.624,1155.189,53.494,3.0,0.0,66.705,69.034
116,AS14.03,2014-04-20,4,7.5,0.25,1.0,0.1468526372239469,3489.1269993782043,2.0,3.0,489.672,993.986,274.2710000000001,3.0,0.0,1528.4879999999998,26.617
117,AS14.03,2014-04-21,4,7.4,0.2,1.0,0.0208458050307714,6019.938000440603,0.0,3.0,723.0600000000001,242.136,1681.2970000000005,3.0,23.194,4016.524,172.68
118,AS14.03,2014-04-22,4,7.6,0.4,0.8,0.092855614460823,3493.3910002708426,0.0,0.0,126.094,1806.502,96.59900000000002,3.0,39.548,2342.385,0.0
119,AS14.03,2014-04-23,2,7.0,0.6,0.8,0.1203897193369119,4272.427999734879,1.0,0.0,145.374,1479.562,82.68299999999999,3.0,159.123,2393.742,0.0
120,AS14.03,2014-04-24,4,7.4,-0.2,1.0,0.1060010922360682,4893.604000329971,0.0,0.0,115.675,2815.141,176.45299999999997,3.0,52.354,1748.1070000000002,0.0
121,AS14.03,2014-04-25,4,7.5,-1.0,1.0,0.1061676182204839,10863.719999790188,0.0,0.0,42.124,7931.9760000000015,112.12499999999999,3.0,221.801,3332.9510000000005,10.174
122,AS14.03,2014-04-26,4,7.5,-0.25,1.0,0.2691422503343845,3489.0539994239807,5.0,4.0,443.29100000000005,586.442,90.04600000000002,3.0,0.0,2756.487,0.0
123,AS14.03,2014-04-27,4,7.6,-1.4,1.0,0.0655520717588992,5290.936999082568,0.0,0.0,8.94,876.2230000000001,2490.634,3.0,0.0,7382.021,540.932
124,AS14.03,2014-04-28,2,7.0,-1.4,1.0,0.0826284903411332,3365.22000002861,0.0,1.0,118.209,2852.1900000000005,64.212,3.0,28.117,3505.3979999999997,13.238
125,AS14.03,2014-04-29,3,7.2,-0.6,1.0,0.1186958482249048,3669.9149987697606,0.0,0.0,20.779,1792.613,79.706,3.0,485.9999999999999,1007.323,0.0
126,AS14.03,2014-04-30,2,7.0,-1.2,1.0,0.0896922408290304,4097.972999095917,0.0,0.0,191.088,1863.695,126.707,3.0,0.0,2006.694,16.27
127,AS14.03,2014-05-01,3,7.2,-0.8,1.0,0.1363888345921595,3744.9600000381465,0.0,1.0,1824.377,1083.126,80.12700000000001,3.0,61.166,3026.651,124.43799999999999
128,AS14.03,2014-05-02,4,7.6,-1.2,1.4,0.1343769226947676,6631.174000263214,1.0,10.0,274.71500000000003,1102.3259999999998,713.9780000000001,3.0,43.224,4098.996999999999,78.575
129,AS14.03,2014-05-03,5,7.75,-0.4,1.0,0.1389189314363011,7432.300000190738,0.0,5.0,550.479,924.108,69.287,3.0,0.0,3330.291,83.85100000000001
130,AS14.03,2014-05-04,4,7.4,-1.2,0.8,0.0661624066483447,3048.189000368119,0.0,4.0,80.634,192.146,79.176,3.0,0.0,2692.8390000000004,0.0
131,AS14.03,2014-05-05,4,7.25,-1.0,1.0,0.1011820050553937,3253.5099997520465,1.0,2.0,124.644,946.438,389.83799999999997,3.0,13.243,1635.675,136.637
132,AS14.05,2014-03-14,5,8.0,-1.0,2.0,0.11841287473089218,5622.509999036791,0.0,3.0,257.071,4362.429,358.415,5.0,0.0,738.058,28.657
133,AS14.05,2014-03-15,1,6.2,0.0,0.4,0.13451450371712087,8903.782000064852,0.0,3.0,797.809,6364.988,361.808,5.0,0.0,2734.3990000000003,41.317
134,AS14.05,2014-03-16,1,6.333333333333333,-0.6666666666666666,0.0,0.11804748490680747,5548.048998832702,0.0,3.0,389.773,4189.964,144.029,5.0,0.0,780.33,28.373
135,AS14.05,2014-03-17,1,6.0,-0.4,0.4,0.083370520962047,5613.824001312256,2.0,0.0,839.5970000000001,1774.029,155.34,5.0,0.0,1020.8220000000002,19.328000000000003
136,AS14.05,2014-03-18,4,7.5,0.25,1.0,0.1131959061579209,7177.02600073815,0.0,9.0,422.774,4411.521000000001,95.623,5.0,0.0,905.3699999999998,57.916
137,AS14.05,2014-03-19,2,6.75,1.0,0.75,0.1336912649265363,6095.810001134871,0.0,0.0,235.80700000000007,4320.741,145.79000000000002,5.0,0.0,1031.177,15.09
138,AS14.05,2014-03-20,3,7.2,1.0,0.8,0.1184567993861232,4862.865999221802,1.0,0.0,122.208,4486.863,157.196,5.0,0.0,512.418,0.0
139,AS14.05,2014-03-21,4,7.25,0.0,1.0,0.0501977228988561,3032.3189995288863,3.0,2.0,393.794,2267.379,53.848,5.0,0.0,375.792,0.0
140,AS14.05,2014-03-22,1,3.75,-2.0,-1.0,0.0185609923352061,1806.1799995899205,0.0,0.0,13.041,1098.569,118.051,5.0,0.0,641.921,7.036
141,AS14.05,2014-03-23,1,4.4,-1.4,-1.0,0.085242897248086,3991.8160002231607,9.0,1.0,269.464,2880.448,91.27700000000002,5.0,0.0,749.3390000000002,0.0
142,AS14.05,2014-03-24,1,3.75,-2.0,-1.0,0.0065358720727085,4166.945000886917,1.0,0.0,1117.885,3652.671,224.00799999999998,5.0,0.0,554.26,153.627
